Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
E.T.: The Extra-Terrestrial,English,1982,Yes,1189.43,7.90,10,Adventure-Drama-Family-Fantasy-Sci-Fi,
Eagle Eye,English,2008,Yes,699.90,6.60,NA,Action-Mystery-Thriller,
Ek unad diwas,Marathi,NA,Yes,925.80,NA,8,Drama-Family,
Elvis Has Left the Building,English,2004,Yes,700.36,5.20,6,Comedy-Crime-Romance,
Empire of the Sun,English,1987,Yes,1178.48,7.70,8,Biography-Drama-War,
Enchanted,English,2007,Yes,700.48,7.40,7,Comedy-Family-Fantasy-Musical-Romance,
Enemy of the State,English,1998,Yes,681.40,7.20,8,Action-Drama-Thriller,
Enter the Dragon,English,1973,Yes,917.60,7.60,9,Action-Crime-Drama-Thriller,
Epic Movie,English,2007,Yes,680.56,2.20,6,Adventure-Comedy,
Equilibrium,English,2002,Yes,701.29,7.60,8,Action-Drama-Sci-Fi-Thriller,
Erin Brockovich,English,2000,Yes,700.87,7.20,8,Biography-Drama-Romance,
Eternal Sunshine of the Spotless Mind,English,2004,Yes,699.53,8.50,8,Drama-Romance-Sci-Fi,
EuroTrip,English,2004,Yes,700.58,6.50,NA,Comedy-Adventure,
Evan Almighty,English,2007,Yes,701.24,5.50,NA,Comedy-Family-Fantasy,
Everyone's Hero,English,2006,Yes,700.66,5.70,NA,Animation-Adventure-Comedy-Family-Sport,
Eyes Wide Shut,English,1999,No,702.61,7.30,NA,Drama-Mystery-Thriller,
Face On The Barroom Floor,English,NA,Yes,93.87,NA,NA,,
Face/Off,English,1997,Yes,832.56,7.30,8,Action-Crime-Thriller,
Fakta Ladh Mhana,Marathi,2011,Yes,692.05,NA,8,Action,
Family Pack,Hindi,2010,Yes,691.21,NA,5,Comedy-Crime,
Fanaa,Hindi,2006,Yes,697.35,6.80,8,Drama-Musical-Romance-Thriller,
Fantastic Four,English,2005,Yes,503.43,5.70,7,Action-Adventure-Fantasy-Sci-Fi,
Fantastic Four: Rise of the Silver Surfer,English,2007,Yes,696.62,5.70,8,Action-Adventure-Fantasy-Sci-Fi-Thriller,
Fantastic Mr. Fox,English,2009,Yes,676.62,7.90,7,Adventure-Animation-Comedy-Family,
Fashion,Hindi,2008,Yes,687.57,6.90,8,Drama-Romance,
Fast & Furious,English,2009,Yes,699.51,6.40,7,Action-Crime-Drama-Thriller,
Fast and Furious Collection,English,2001,Yes,4228.10,NA,6,Action-Crime-Thriller,
Fast Five,English,2011,Yes,2050.42,7.30,7,Action-Crime-Thriller,
Felon,English,2008,No,701.57,7.70,NA,Crime-Drama,
Fight Club,English,1999,Yes,699.34,8.80,8,Drama,
Final Destination,English,2000,Yes,720.63,6.80,7,Horror-Thriller,
Final Destination 2,English,2003,Yes,530.44,6.30,7,Horror-Thriller,
Final Destination 3,English,2006,Yes,700.06,5.80,7,Horror-Thriller,
Final Fantasy VII: Advent Children,English,2005,Yes,700.16,7.30,NA,Animation-Action-Sci-Fi-Thriller,
Final Fantasy: The Spirits Within,English,2001,Yes,1390.65,6.40,NA,Animation-Action-Adventure-Fantasy-Sci-Fi-Thriller,
Finding Nemo,English,2003,Yes,1469.19,8.10,9,Adventure-Animation-Comedy-Family,
Finding Neverland,English,2004,Yes,694.71,7.90,NA,Biography-Drama-Family,
Fired Up!,English,2009,Yes,697.25,6.00,NA,Comedy,
Flags of Our Fathers,English,2006,Yes,701.83,7.10,NA,Drama-History-War,
Flashpoint,English,2008,Yes,700.85,7.60,NA,Action-Crime-Drama-Thriller,
Flawless,English,2007,Yes,399.74,6.70,NA,Crime-Drama-Thriller,
Flubber,English,1997,Yes,306.38,4.70,NA,Comedy-Family-Sci-Fi,
Fly Away Home,English,1996,Yes,701.38,6.80,NA,Adventure-Drama-Family,
Fools Rush In,English,1997,Yes,1053.01,5.80,NA,Comedy-Drama-Romance,
Force,Hindi,2011,Yes,695.55,6.10,NA,Action-Crime-Drama-Romance-Thriller,
Foreign Exchange,English,2008,Yes,700.38,4.00,NA,Comedy,
Forget Me Not,English,2009,Yes,717.50,4.90,NA,Horror-Romance-Thriller,
Forgetting Sarah Marshall,English,2008,Yes,701.65,7.30,NA,Comedy-Drama-Music-Romance,
Forrest Gump,English,1994,Yes,1208.86,8.70,10,Comedy-Drama-Romance,
Four Brothers,English,2005,Yes,443.28,6.80,NA,Action-Crime-Drama-Mystery-Thriller,
Four Rooms,English,1995,No,737.19,6.40,NA,Comedy,
French Kiss,English,1995,Yes,695.25,6.30,7,Comedy-Romance,
Frequency,English,2000,Yes,595.18,7.30,NA,Crime-Drama-Sci-Fi-Thriller,
Friday the 13th,English,2009,Yes,699.96,5.50,7,Horror,
Friends with Benefits,English,2011,Yes,1646.21,6.60,NA,Comedy-Romance,
Fritz Lang - M,English,1931,No,700.26,8.60,NA,Crime-Thriller,
From Here to Eternity,English,1953,Yes,700.15,7.90,NA,Drama-Romance-War,
From Paris with Love,English,2010,Yes,700.95,6.40,7,Action-Crime-Thriller,
Frost/Nixon,English,2008,Yes,393.01,7.90,NA,Drama-History,
Fucking Åmål,Foreign Language,1998,Yes,698.96,7.80,7,Comedy-Drama-Romance,
Fun aur Masti,Hindi,NA,Yes,1140.48,NA,NA,Comedy-Drama,
Funny People,English,2009,Yes,711.94,6.70,NA,Comedy-Drama,
Furry Vengeance,English,2010,Yes,700.27,3.10,5,Comedy-Family,
G.I. Joe: The Rise of Cobra,English,2009,Yes,1400.18,5.70,8,Action-Adventure-Sci-Fi-Thriller,
Gabhricha Paus,Marathi,2009,Yes,706.01,7.70,8,Comedy-Drama,
Galgale Nighale,Marathi,NA,Yes,154.25,NA,7,Comedy,
Gallit Gondhal  Dillit Mujra,Marathi,2009,Yes,699.73,6.00,NA,Comedy,
Gamer,English,2009,Yes,700.59,5.70,NA,Action-Sci-Fi-Thriller,
Gandhi,English,1982,Yes,1394.94,8.10,9,Biography-Drama-History,
Gandhi to Hitler,Hindi,2011,Yes,703.85,4.40,6,Documentary-Drama-History-War,
Gangaajal,Hindi,2003,Yes,513.31,7.60,NA,Crime-Drama,
Gangs of New York,English,2002,Yes,1608.81,7.40,NA,Crime-Drama-History,
Garfield,English,2004,Yes,743.97,4.80,NA,Comedy-Family,
Garfield Collection,English,2004,Yes,699.75,NA,6,Comedy-Family,
Get Smart,English,2008,Yes,698.57,6.70,NA,Action-Adventure-Comedy,
Ghajini,Hindi,2008,Yes,695.78,6.70,NA,Action-Drama-Mystery-Romance-Thriller,
Ghajini,Telugu,2005,Yes,1684.11,6.60,NA,Action-Drama-Mystery-Romance-Thriller,
Ghost,English,1990,No,694.65,6.90,NA,Drama-Fantasy-Mystery-Romance-Thriller,
Ghost Rider,English,2007,Yes,0.00,5.20,7,Action-Fantasy-Thriller,
Ghost Ship,English,2002,Yes,878.34,5.30,6,Horror-Mystery-Thriller,
Ghost Town,English,2008,No,701.53,6.90,NA,Comedy-Fantasy-Romance,
Ghosts of Girlfriends Past,English,2009,Yes,696.79,5.70,NA,Comedy-Fantasy-Romance,
Gia,English,1998,Yes,1485.74,6.80,NA,Biography-Drama-Romance,
Gigi,English,1958,Yes,882.06,6.90,NA,Comedy-Musical-Romance,
Ging chaat goo si 4: Ji gaan daan yam mo,English,1996,Yes,307.42,6.30,NA,Action-Adventure-Comedy-Crime-Drama-Thriller,
Ginger Snaps,English,2000,Yes,348.97,6.80,6,Comedy-Drama-Horror,
Girl  Interrupted,English,1999,Yes,800.01,7.10,NA,Biography-Drama,
Girlfriend,Hindi,2004,Yes,691.11,3.80,NA,Drama,
Gladiator,English,2000,Yes,784.28,8.40,NA,Action-Adventure-Drama-History,
Glory Road,English,2006,Yes,700.33,7.00,NA,Drama-Sport,
Goal II: Living the Dream,English,2007,Yes,701.92,5.80,NA,Drama-Sport,
Goal!,English,2005,Yes,1144.73,6.80,NA,Drama-Romance-Sport,
God Tussi Great Ho,Hindi,2008,Yes,693.28,3.70,NA,Comedy-Drama-Romance,
Godzilla,English,1998,Yes,0.00,5.00,7,Action-Horror-Sci-Fi-Thriller,
Golmaal 3,Hindi,2010,Yes,702.75,5.00,6,Action-Comedy-Crime-Drama,
Golmal marathi,Marathi,NA,Yes,1353.28,NA,8,Comedy-Family,
Gone in Sixty Seconds,English,2000,Yes,840.49,6.10,8,Action-Crime-Thriller,
Gone with the Wind,English,1939,Yes,1019.41,8.20,NA,Drama-Romance-War,
Good Hair,English,2009,Yes,698.49,6.90,NA,Documentary-Comedy,
Good Luck Chuck,English,2007,Yes,679.18,5.60,NA,Comedy-Drama-Fantasy-Romance,
Good Will Hunting,English,1997,Yes,700.14,8.10,8,Drama,
Goodfellas,English,1990,Yes,916.46,8.80,10,Biography-Crime-Drama-Thriller,
Green Lantern: First Flight,English,2009,Yes,700.39,7.10,NA,Animation-Action-Adventure-Fantasy-Sci-Fi,
Gridiron Gang,English,2006,Yes,700.59,6.80,7,Crime-Drama-Sport,
Grindhouse,English,2007,Yes,701.60,7.80,5,Action-Horror-Thriller,
Guess Who,English,2005,Yes,961.08,5.70,5,Comedy-Romance,
Gullu Dada Returns: No Compromise.. Only Fight...!,Hindi,2010,Yes,124.45,NA,6,Comedy-Crime-Drama,
Gung Ho,English,1986,No,699.85,5.90,NA,Comedy-Drama,
Guru,Hindi,2007,Yes,705.21,7.50,8,Biography-Drama-Romance,
Guzaarish,Hindi,2010,Yes,1390.70,7.20,8,Comedy-Drama-Romance,
Hackers,English,1995,Yes,585.47,5.90,NA,Action-Crime-Drama-Thriller,
Half Fry,Hindi,NA,Yes,219.78,NA,NA,Comedy,
Halo Legends,English,2010,Yes,1406.57,6.40,NA,Animation-Action-Sci-Fi,
Halo Wars,English,2009,Yes,577.68,6.30,NA,Action-Sci-Fi,
Hancock,English,2008,Yes,700.56,6.50,7,Action-Crime-Fantasy-Sci-Fi,
Hannah Montana: The Movie,English,2009,Yes,1483.64,3.60,6,Comedy-Drama-Family-Music-Romance,
Hanuman,Hindi,2005,Yes,891.91,6.40,NA,Animation,
Happy,Telugu,2006,Yes,1579.87,7.30,8,Comedy-Drama-Romance,
Happy Days,Telugu,2007,Yes,1491.48,7.50,9,Drama,
Happy Feet,English,2006,Yes,700.75,6.60,NA,Animation-Adventure-Comedy-Family-Music-Romance,
Happy Gilmore,English,1996,Yes,639.08,6.90,NA,Comedy-Romance-Sport,
Hapus,Marathi,NA,Yes,666.89,NA,8,Drama,
Harishchandrachi Factory,Marathi,2009,Yes,610.84,7.70,9,Biography-Comedy-Drama-History,
Harry Potter and the Chamber of Secrets,English,2002,Yes,1558.99,7.20,9,Adventure-Family-Fantasy-Mystery,
Harry Potter and the Deathly Hallows: Part 1,English,2010,Yes,998.78,7.60,9,Adventure-Drama-Fantasy-Mystery,
Harry Potter and the Deathly Hallows: Part 2,English,2011,Yes,1778.93,8.10,9,Adventure-Drama-Fantasy-Mystery,
Harry Potter and the Goblet of Fire,English,2005,Yes,2238.98,7.50,8,Adventure-Family-Fantasy-Mystery,
Harry Potter and the Half-Blood Prince,English,2009,Yes,2245.76,7.30,8,Adventure-Family-Fantasy-Mystery,
Harry Potter and the Order of the Phoenix,English,2007,Yes,2745.30,7.30,9,Adventure-Family-Fantasy-Mystery,
Harry Potter and the Prisoner of Azkaban,English,2004,Yes,1373.30,7.70,9,Adventure-Family-Fantasy-Mystery,
Harry Potter and the Sorcerer's Stone,English,2001,Yes,1505.34,7.20,9,Adventure-Family-Fantasy-Mystery,
Harry Potter Collection,English,2001,Yes,12376.00,NA,10,Adventure-Drama-Family-Fantasy-Mystery,
Held Hostage,English,2009,Yes,698.49,4.60,6,Drama,
Hellboy,English,2004,Yes,700.31,6.80,7,Action-Adventure-Fantasy,
Hellboy II: The Golden Army,English,2008,Yes,693.88,7.30,NA,Action-Adventure-Fantasy,
Hello,Hindi,2008,Yes,696.59,3.60,NA,Drama-Romance,
Henry & June,English,1990,Yes,651.69,6.30,NA,Biography-Drama,
Hera Pheri,Hindi,2000,Yes,1518.20,8.10,9,Comedy,
Herbie Fully Loaded,English,2005,Yes,977.91,4.70,NA,Adventure-Comedy-Family-Fantasy-Romance-Sport,
Hero Wanted,English,2008,Yes,702.08,5.60,5,Action-Crime-Drama-Thriller,
Heyy Babyy,Hindi,2007,Yes,739.27,5.40,NA,Comedy-Drama,
Hide & Seek,Hindi,2010,Yes,406.02,4.40,NA,Drama-Horror-Thriller,
High School Musical,English,2006,Yes,988.06,4.90,7,Comedy-Drama-Family-Musical-Romance,
High School Musical 2,English,2007,Yes,700.15,4.30,7,Comedy-Drama-Family-Musical-Romance,
High School Musical 3: Senior Year,English,2008,Yes,0.00,3.80,7,Comedy-Drama-Family-Musical-Romance,
Hitch,English,2005,Yes,700.75,6.70,NA,Comedy-Romance,
Hitler: The Rise of Evil,English,2003,Yes,1400.77,7.10,NA,Biography-Drama-History,
Hitman,English,2007,Yes,696.13,6.20,NA,Action-Crime-Drama-Thriller,
Hollow Man,English,2000,Yes,700.50,5.50,7,Action-Sci-Fi-Thriller,
Hollow Man Collection,English,2000,Yes,1399.59,NA,7,Action-Sci-Fi-Thriller,
Hollow Man II,English,2006,Yes,699.09,4.50,7,Action-Horror-Sci-Fi-Thriller,
Home Alone,English,1990,Yes,696.83,7.10,NA,Adventure-Comedy-Family,
Home Alone 2: Lost in New York,English,1992,Yes,702.82,5.90,NA,Adventure-Comedy-Crime-Family,
Home Alone 3,English,1997,Yes,615.27,3.70,NA,Action-Comedy-Crime-Family,
Home Alone 4,English,2002,Yes,700.67,2.10,6,Comedy-Crime-Family,
Home Alone Collection,English,1990,Yes,2715.60,NA,6,Adventure-Comedy-Crime-Family,
Honey,English,2003,Yes,700.33,NA,7,Drama-Music-Romance,
Hoodwinked!,English,2005,Yes,699.57,6.70,NA,Animation-Crime-Family-Mystery,
Horton Hears a Who!,English,2008,Yes,700.74,7.10,NA,Animation-Adventure-Comedy-Family,
Hostage,English,2005,No,925.50,6.60,NA,Crime-Drama-Mystery-Thriller,
Hostel,English,2005,Yes,699.02,5.80,6,Horror-Mystery-Thriller,
Hostel Collection,English,2005,Yes,1399.08,NA,6,Horror-Mystery-Thriller,
Hostel: Part II,English,2007,Yes,700.06,5.30,6,Horror-Thriller,
Hot Shots Collection,English,1991,Yes,1400.39,NA,7,Action-Comedy-War,
Hot Shots!,English,1991,Yes,700.16,6.50,7,Action-Comedy-War,
Hot Shots! Part Deux,English,1993,Yes,700.22,6.30,7,Action-Comedy-War,
House of Wax,English,2005,Yes,499.32,5.30,NA,Horror-Thriller,
How to Train Your Dragon,English,2010,Yes,2862.81,8.20,8,Animation-Adventure-Comedy-Drama-Family-Fantasy,
Hugo,English,2011,Yes,1587.01,8.20,9,Adventure-Drama-Family-Fantasy-Mystery,
Hulk,English,2003,Yes,812.87,5.70,7,Action-Sci-Fi,
Hum Aapke Hain Koun...!,Hindi,1994,Yes,841.88,7.30,NA,Comedy-Drama-Musical-Romance,
Hum Tum,Hindi,2004,Yes,700.87,7.00,NA,Drama-Romance-Comedy-Musical,
Humko Deewana Kar Gaye,Hindi,2006,Yes,695.68,4.90,NA,Romance,
Hungama,Hindi,2003,Yes,985.89,7.40,8,Comedy-Drama-Romance,
Hungama in Dubai,Hindi,NA,Yes,1089.15,NA,7,Comedy-Drama,
Hyderabadi Bakara,Hindi,NA,Yes,658.37,NA,7,Comedy-Crime,
Hydrabadi Nawabs,Hindi,NA,Yes,1214.59,NA,7,Comedy,
Hyoch Navra Pahije,Marathi,1980,Yes,804.57,7.40,7,,
I Am Kalam,Hindi,2010,Yes,699.42,7.30,8,Comedy-Drama,
I Am Legend,English,2007,Yes,910.38,7.10,NA,Drama-Sci-Fi-Thriller,
I Am Number Four,English,2011,Yes,1245.63,6.10,8,Action-Sci-Fi-Thriller,
I Can't Think Straight,English,2008,Yes,669.03,6.30,7,Drama-Romance,
I Dream of Jeannie,English,1965,Yes,500.21,7.60,NA,Comedy-Family-Fantasy,
I Hate Luv Storys,Hindi,2010,Yes,897.07,5.20,6,Comedy-Drama-Romance,
I Know What You Did Last Summer,English,1997,Yes,699.65,5.40,6,Horror-Mystery-Thriller,
I Know Who Killed Me,English,2007,Yes,700.72,3.60,5,Crime-Mystery-Thriller,
I  Robot,English,2004,Yes,746.01,7.00,8,Action-Mystery-Sci-Fi-Thriller,
Ice Age,English,2002,Yes,702.03,7.50,8,Adventure-Animation-Comedy-Family,
Ice Age Collection,English,2002,Yes,2312.49,NA,8,Action-Adventure-Animation-Comedy-Family,
Ice Age: Dawn of the Dinosaurs,English,2009,Yes,699.33,7.00,8,Action-Adventure-Animation-Comedy-Family-Romance,
Ice Age: The Meltdown,English,2006,Yes,911.13,6.80,8,Action-Adventure-Animation-Comedy-Family-Fantasy,
Identity,English,2003,Yes,700.08,7.30,7,Drama-Mystery-Thriller,
Idiocracy,English,2006,Yes,710.68,6.40,6,Adventure-Comedy-Sci-Fi-Thriller,
If Only,English,2004,Yes,700.00,7.00,NA,Comedy-Drama-Fantasy-Romance,
I'll Always Know What You Did Last Summer,English,2006,Yes,300.05,3.50,5,Horror-Mystery-Thriller,
I'm Not There.,English,2007,No,800.99,7.00,NA,Biography-Drama-Music,
Impatient Vivek,Hindi,2011,Yes,700.44,1.30,3,Comedy-Drama-Romance,
Impulse,English,2008,Yes,701.44,4.80,NA,Mystery-Thriller,
In Her Shoes,English,2005,Yes,683.34,6.70,7,Comedy-Drama-Romance,
In the Land of Women,English,2007,Yes,705.59,6.70,NA,Comedy-Drama-Romance,
In the Line of Fire,English,1993,Yes,421.57,7.20,NA,Action-Crime-Drama-Mystery-Thriller,
In the Name of the King: A Dungeon Siege Tale,English,2007,Yes,701.42,3.80,NA,Action-Adventure-Drama-Fantasy,
Inception,English,2010,Yes,1398.73,8.80,10,Action-Adventure-Sci-Fi-Thriller,
Indecent Proposal,English,1993,Yes,1400.87,5.40,NA,Drama-Romance,
Independence Day,English,1996,Yes,0.00,6.70,9,Action-Adventure-Sci-Fi-Thriller,
Indiana Jones and Raiders of the Lost Ark,English,1981,Yes,702.38,8.70,9,Action-Adventure,
Indiana Jones and the Kingdom of the Crystal Skull,English,2008,Yes,802.31,6.40,7,Action-Adventure,
Indiana Jones and the Last Crusade,English,1989,Yes,680.65,8.30,8,Action-Adventure,
Indiana Jones and the Temple of Doom,English,1984,Yes,701.02,7.50,8,Action-Adventure,
Indiana Jones Collection,English,1981,Yes,802.31,NA,8,Action-Adventure,
Inglourious Basterds,English,2009,Yes,700.44,8.30,9,Adventure-Drama-War,
Inhale,English,2010,No,693.28,6.60,NA,Drama-Thriller,
Inkheart,English,2008,Yes,699.40,6.00,NA,Adventure-Family-Fantasy,
Inside Man,English,2006,Yes,700.81,7.70,NA,Crime-Drama-Thriller,
Insidious,English,2010,Yes,1294.10,6.90,6,Horror-Thriller,
Into the Wild,English,2007,Yes,800.22,8.20,NA,Adventure-Biography-Drama,
Invictus,English,2009,Yes,898.89,7.40,NA,Biography-Drama-History-Sport,
Invincible,English,2006,Yes,701.00,7.00,NA,Biography-Drama-Sport,
IP Man (Yip Man),Foreign Language,2008,Yes,702.53,8.10,NA,Action-Biography-Drama-History,
Iqbal,Hindi,2005,Yes,1280.23,8.00,8,Drama-Sport,
Iron Man,English,2008,Yes,800.79,7.90,8,Action-Adventure-Sci-Fi,
Iron Man 2,English,2010,Yes,799.50,7.00,8,Action-Adventure-Sci-Fi,
Iron Man Collection,English,2008,Yes,1600.29,NA,8,Action-Adventure-Sci-Fi,
Ishq Vishk,Hindi,2003,Yes,1295.87,6.60,8,Comedy-Romance,
Ishqiya,Hindi,2010,Yes,700.57,7.30,8,Comedy-Drama-Romance-Thriller,
It's a Boy Girl Thing,English,2006,Yes,697.08,6.20,NA,Comedy-Romance,
It's a Wonderful Life,English,1946,Yes,2046.30,8.70,NA,Drama-Family-Fantasy,
Ja Bhai Jaa,Hindi,2011,Yes,641.40,NA,NA,Comedy,
Jaanam Samjha Karo,Hindi,1999,Yes,400.78,4.50,6,Family-Drama-Musical-Romance,
Jaane Tu... Ya Jaane Na,Hindi,2008,Yes,701.58,7.50,8,Comedy-Drama-Romance,
Jaan-E-Mann: Let's Fall in Love... Again,Hindi,2006,Yes,857.13,6.30,NA,Musical-Romance,
Jab We Met,Hindi,2007,Yes,524.42,7.70,8,Comedy-Romance,
Jack and Jill vs. the World,English,2008,Yes,699.91,5.40,6,Comedy-Drama-Romance,
Jackie Brown,English,1997,No,1339.64,7.60,NA,Crime-Drama-Thriller,
Jackie Chan's Rumble In The Bronx (Hung fan kui),English,1995,Yes,700.05,6.60,NA,Comedy-Crime-Thriller,
Jackie Chan's The Legend of drunken Master (Jui kuen II),English,1994,Yes,702.23,7.60,NA,Action-Comedy,
Jackie Chan's Who am I? (Wo shi shei),English,1998,Yes,750.25,6.60,NA,Action-Sci-Fi-Comedy-Adventure-Thriller,
James Bond 007 01 - Dr. No,English,1962,Yes,701.68,7.30,8,Action-Adventure-Thriller,
James Bond 007 02 - From Russia with Love,English,1963,No,0.00,7.50,NA,Action-Adventure-Thriller,
James Bond 007 03 - Goldfinger,English,1964,No,0.00,7.90,NA,Action-Thriller,
James Bond 007 04 - Thunderball,English,1965,Yes,898.43,7.00,7,Action-Adventure-Thriller,
James Bond 007 05 - You Only Live Twice,English,1967,Yes,617.74,6.90,7,Action-Adventure-Sci-Fi-Thriller,
James Bond 007 06 - On Her Majesty's Secret Service,English,1969,Yes,686.77,6.80,NA,Action-Adventure-Romance-Thriller,
James Bond 007 07 - Diamonds Are Forever,English,1971,No,0.00,6.70,NA,Action-Comedy-Sci-Fi-Thriller,
James Bond 007 08 - Live and Let Die,English,1973,Yes,987.68,6.80,NA,Action-Adventure-Thriller,
James Bond 007 09 - The Man with the Golden Gun,English,1974,Yes,700.56,6.60,NA,Action-Adventure-Thriller,
James Bond 007 10 - The Spy Who Loved Me,English,1977,Yes,1252.16,7.10,NA,Action-Adventure-Thriller,
James Bond 007 11 - Moonraker,English,1979,No,0.00,6.10,NA,Action-Adventure-Sci-Fi-Thriller,
James Bond 007 12 - For Your Eyes Only,English,1981,Yes,664.12,6.80,NA,Action-Adventure-Thriller,
James Bond 007 13 - Octopussy,English,1983,Yes,699.15,6.50,7,Action-Adventure-Thriller,
James Bond 007 14 - A View to a Kill,English,1985,No,0.00,6.10,NA,Action-Adventure-Thriller,
James Bond 007 15 - The Living Daylights,English,1987,Yes,702.94,6.70,NA,Action-Adventure-Thriller,
James Bond 007 16 - Licence to Kill,English,1989,Yes,1399.98,6.50,NA,Action-Adventure-Thriller,
James Bond 007 17 - GoldenEye,English,1995,Yes,1256.20,7.10,8,Action-Adventure-Thriller,
James Bond 007 18 - Tomorrow Never Dies,English,1997,Yes,606.03,6.40,8,Action-Adventure-Thriller,
James Bond 007 19 - The World Is Not Enough,English,1999,Yes,1272.74,6.30,8,Action-Adventure-Thriller,
James Bond 007 20 - Die Another Day,English,2002,Yes,1277.23,6.00,8,Action-Adventure-Thriller,
James Bond 007 21 - Casino Royale,English,2006,Yes,2234.73,7.90,8,Action-Crime-Thriller,
James Bond 007 22 - Quantum of Solace,English,2008,Yes,701.77,6.80,7,Action-Crime-Thriller,
James Bond 007 23 - Skyfall,English,2012,No,0.00,NA,NA,Action-Adventure-Thriller,
James Bond 007 Complete Collection,English,1962,Yes,18140.69,NA,9,Action-Adventure-Crime-Sci-Fi-Thriller,
James Bond 007 in Casino Royale [1967],English,1967,Yes,709.97,5.20,NA,Comedy-Action-Adventure,
James Bond 007 in Never Say Never Again,English,1983,Yes,1400.01,6.10,NA,Action-Adventure-Thriller,
Jarhead,English,2005,No,700.50,7.10,NA,Biography-Drama-War,
Jau Tithe Khau,Marathi,2007,Yes,668.21,3.40,NA,Comedy,
Jennifer's Body,English,2009,Yes,377.94,5.20,NA,Comedy-Horror,
Jet Li - Fearless (Huo Yuan Jia),English,2006,Yes,1403.37,7.60,NA,Action-Biography-Drama-Sport,
Jet Li - Fist of Legend (Jing wu ying xiong),English,1994,Yes,671.74,7.60,NA,Action-Drama,
Jet Li - Kiss of the Dragon,English,2001,Yes,706.07,6.40,NA,Action-Crime-Drama-Thriller,
Jet Li - Legend of the Red Dragon (Hong Xi Guan: Zhi Shao Lin wu zu),English,1994,Yes,677.21,6.10,NA,Action-Adventure-Comedy-Drama-History-Romance,
Jet Li - The Evil Cult (Yi tian tu long ji: Zhi mo jiao jiao zhu),English,1993,Yes,699.28,6.20,NA,Action-Fantasy-History,
Jet Li - The One,English,2001,Yes,828.11,5.70,NA,Action-Sci-Fi-Thriller,
Jewel Thief,Hindi,1967,Yes,400.63,7.30,8,Crime-Drama-Musical-Mystery-Thriller,
Jhankaar Beats,Hindi,2003,Yes,701.24,7.30,NA,Comedy-Musical,
Jo Jeeta Wohi Sikandar,Hindi,1992,Yes,700.04,8.10,9,Comedy-Drama-Romance,
Jodhaa Akbar,Hindi,2008,Yes,699.55,7.20,NA,Action-Adventure-Biography-History-Musical-Romance,
Johnny English,English,2003,Yes,696.94,5.80,7,Action-Adventure-Comedy,
Jonah Hex,English,2010,Yes,1315.56,4.60,7,Action-Drama-Fantasy-Thriller-Western,
Josh,Hindi,2000,Yes,704.84,5.70,NA,Action-Drama-Musical-Romance,
Journey to the Center of the Earth,English,2008,Yes,701.08,5.80,NA,Action-Adventure-Comedy-Family-Sci-Fi-Thriller,
Julie & Julia,English,2009,Yes,1396.05,7.10,8,Biography-Drama-Romance,
Jumanji,English,1995,Yes,686.78,6.50,NA,Adventure-Family-Fantasy-Thriller,
Jumper,English,2008,Yes,700.33,5.90,7,Action-Adventure-Sci-Fi-Thriller,
Juno,English,2007,Yes,410.54,7.80,NA,Comedy-Drama-Romance,
Just Friends,English,2005,Yes,696.07,6.20,NA,Comedy-Romance,
Just Go with It,English,2011,Yes,1800.62,6.30,NA,Comedy-Romance,
Just Like Heaven,English,2005,Yes,916.31,6.80,NA,Comedy-Fantasy-Romance,
Just Visiting,English,2001,Yes,701.01,5.60,NA,Comedy-Fantasy,
Kabhi Alvida Naa Kehna,Hindi,2006,Yes,694.73,5.60,NA,Drama,
Kabhi Haan Kabhi Naa,Hindi,1993,Yes,698.27,7.60,8,Comedy-Drama-Music-Romance,
Kabul Express,Hindi,2006,Yes,701.46,7.00,7,Action-Comedy-Drama-Thriller,
Kal Ho Naa Ho,Hindi,2003,Yes,1141.78,7.70,9,Drama-Romance,
Karan Arjun,Hindi,1995,Yes,743.22,6.50,NA,Action-Comedy-Fantasy-Romance,
Kay Dyache Bola,Marathi,2005,Yes,658.06,6.30,NA,Comedy-Crime-Drama-Thriller,
Khabardaar,Marathi,2005,Yes,1449.85,5.30,NA,Comedy-Thriller,
Khakee,Hindi,2004,Yes,685.69,7.40,NA,Drama-Action,
Khatta Meetha,Hindi,2010,Yes,900.51,4.90,NA,Comedy-Crime-Drama,
Khuda Kay Liye,Hindi,2007,Yes,539.35,7.80,NA,Crime-Drama-Thriller,
Kick-Ass,English,2010,Yes,1396.32,8.00,7,Action-Adventure-Comedy,
Killing Me Softly,English,2002,Yes,700.24,5.20,NA,Drama-Mystery-Romance-Thriller,
King Arthur,English,2004,Yes,538.91,6.20,NA,Action-Adventure-History-War,
Kites,Hindi,2010,Yes,689.29,5.50,NA,Action-Drama-Romance-Thriller,
Knight and Day,English,2010,Yes,1254.16,6.30,NA,Action-Adventure-Comedy-Thriller,
Knight Rider,English,1982,Yes,699.80,6.80,NA,Action-Crime-Sci-Fi,
Knock Out,Hindi,2010,Yes,697.17,5.70,NA,Crime-Drama-Thriller,
Knowing,English,2009,Yes,799.92,6.30,NA,Drama-Mystery-Sci-Fi-Thriller,
Koi... Mil Gaya,Hindi,2003,Yes,603.28,6.70,NA,Drama-Fantasy-Romance-Sci-Fi,
