Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
American Beauty,English,1999,Yes,700.10,8.50,9,Drama,
American Gangster,English,2007,Yes,731.16,7.90,NA,Biography-Crime-Drama,
American History X,English,1998,Yes,701.97,8.60,9,Crime-Drama,
American Pie,English,1999,Yes,647.43,6.90,7,Comedy-Romance,
American Pie 2,English,2001,Yes,695.72,6.20,7,Comedy-Romance,
American Pie Collection,English,1999,Yes,2384.70,NA,7,Comedy-Romance,
American Pie Presents Band Camp,English,2005,Yes,700.54,4.90,NA,Comedy,
American Pie Presents Beta House,English,2007,Yes,731.19,5.20,NA,Comedy,
American Pie Presents The Naked Mile,English,2006,Yes,691.24,4.90,NA,Comedy,
American Pie Presents: The Book of Love,English,2009,Yes,700.00,4.60,NA,Comedy,
American Psycho,English,2000,Yes,703.98,7.50,7,Comedy-Crime-Drama,
American Wedding,English,2003,Yes,341.55,6.10,7,Comedy-Romance,
An Education,English,2009,Yes,700.04,7.40,NA,Drama,
An Ideal Husband,English,1999,Yes,664.34,6.80,6,Comedy-Romance,
Anbe Sivam,Tamil,2003,No,699.27,8.10,NA,Adventure-Comedy-Drama,
Andaz Apna Apna,Hindi,1994,Yes,1399.41,8.20,9,Comedy,
Andhala Magato Dola,Marathi,NA,Yes,790.29,NA,NA,Comedy-Drama,
Angels & Demons,English,2009,Yes,800.59,6.70,NA,Mystery-Thriller,
Anger Management,English,2003,Yes,705.96,6.10,NA,Comedy,
Anjaana Anjaani,Hindi,2010,Yes,949.44,5.60,NA,Comedy-Drama-Musical-Romance,
Ant Bully,English,2006,Yes,700.99,6.60,NA,Adventure,
Antitrust,English,2001,Yes,665.97,6.00,NA,Drama-Thriller,
Antz,English,1998,Yes,750.88,6.80,NA,Animation-Adventure-Comedy-Family,
Apna Sapna Money Money,Hindi,2006,Yes,702.84,5.40,NA,Comedy-Musical-Romance,
Apocalypse Now,English,1979,Yes,701.34,8.60,9,Drama-War,
Apocalypto,English,2006,Yes,899.99,7.80,NA,Action-Adventure-Drama,
Apollo 13,English,1995,Yes,904.17,7.50,NA,Adventure-Drama-History,
